;l_id;v_id_1;v_id_2;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
278;279;219;220;380000;3.0;4.0;50.0;Eickum - Bechterdissen;TenneT;;15060;0.025;0.25;13.7;2.6;1636864.0
279;280;219;220;380000;3.0;4.0;50.0;Eickum - Bechterdissen;TenneT;;15054;0.025;0.25;13.7;2.6;1636865.0
280;281;219;209;380000;3.0;4.0;50.0;Overstädt - Eickum;TenneT;3018;45519;0.025;0.25;13.7;2.6;1636866.0
281;282;94;95;380000;3.0;4.0;50.0;Niedersachsen Nord;Amprion;;61867;0.025;0.25;13.7;2.6;1636917.0
282;283;159;221;380000;3.0;2.0;50.0;;TenneT;304;57422;0.05;0.5;6.85;1.3;1637160.0
283;284;159;221;380000;3.0;2.0;50.0;;TenneT;304;57414;0.05;0.5;6.85;1.3;1637161.0
284;285;34;161;220000;3.0;2.0;50.0;204 rot;TenneT;204;33177;0.08;0.32;11.5;1.3;1637162.0
285;286;222;221;380000;6.0;2.0;50.0;Diele (DE) - Meeden (NL);TenneT;306;26839;0.025;0.25;13.7;2.6;1637163.0
286;287;34;161;220000;3.0;2.0;50.0;204 blau;TenneT;204;33182;0.08;0.32;11.5;1.3;1637164.0
287;288;211;52;380000;3.0;;50.0;Kaiserslautern Süd;Amprion;;152170;;;;;1638847.0
288;289;215;223;220000;3.0;;50.0;Weingarten Ltg;Amprion;;73735;;;;;1638848.0
289;290;224;215;220000;3.0;;50.0;Roxheim Süd;Amprion;;28879;;;;;1638849.0
290;291;225;224;220000;3.0;;50.0;Eisbach Süd;Amprion;;63560;;;;;1638851.0
291;292;224;223;220000;3.0;;50.0;Bienwald West;Amprion;;46998;;;;;1638852.0
292;293;226;6;220000;3.0;1.0;50.0;Leitung 2001/2030;TenneT;2001/2030;48570;0.16;0.64;5.75;0.65;1639492.0
293;294;7;3;380000;3.0;4.0;50.0;Leitung 3027;TenneT;3027;53927;0.025;0.25;13.7;2.6;1639494.0
294;295;216;227;380000;3.0;4.0;50.0;Donau Ost;Amprion;;114977;0.025;0.25;13.7;2.6;1641461.0
295;296;228;229;220000;3.0;;50.0;Bergstraße;Amprion;;15957;;;;;1641462.0
296;297;227;230;380000;3.0;4.0;50.0;Günzburg Süd;Amprion;;46083;0.025;0.25;13.7;2.6;1641463.0
297;298;231;53;380000;6.0;4.0;50.0;Rheingraben;Amprion;;83123;0.0125;0.125;27.4;5.2;1641466.0
298;299;232;233;220000;3.0;;50.0;Iller Ltg.;Amprion;;19768;;;;;1641467.0
299;300;234;235;220000;3.0;;50.0;Gurtweil - Stockach;Amprion;;69736;;;;;1641471.0
300;301;236;214;220000;3.0;;50.0;Nord-Süd-Leitung RWE Hoheneck–Rheinau;Amprion;;86285;;;;;1641472.0
301;302;227;230;380000;3.0;4.0;50.0;Günzburg Nord;Amprion;;46142;0.025;0.25;13.7;2.6;1641474.0
302;303;233;227;380000;3.0;4.0;50.0;Donau West;Amprion;;16623;0.025;0.25;13.7;2.6;1641476.0
303;304;238;498;220000;3.0;2.0;50.0;Heisdorf - Trier Süd;Amprion;;39815;0.08;0.32;11.5;1.3;1641479.0
304;305;212;100;380000;3.0;4.0;;Gilzem Ost;Amprion;;45953;0.025;0.25;13.7;2.6;1641482.0
305;306;100;239;220000;3.0;2.0;;Niederstedem Ost;Amprion;;26324;0.08;0.32;11.5;1.3;1641485.0
306;307;238;100;220000;3.0;2.0;;Niederstedem West;Amprion;;22939;0.08;0.32;11.5;1.3;1641488.0
307;308;213;240;220000;;;50.0;Marxheim Ost;Amprion;;25199;;;;;1641698.0
308;309;241;242;380000;3.0;4.0;50.0;Hessen Ost;Amprion;;56988;0.025;0.25;13.7;2.6;1641699.0
309;310;70;241;380000;3.0;4.0;50.0;Trebur Süd;Amprion;;18927;0.025;0.25;13.7;2.6;1641702.0
310;311;70;241;380000;3.0;4.0;50.0;Trebur Nord;Amprion;;26074;0.025;0.25;13.7;2.6;1641706.0
311;312;243;244;220000;3.0;;50.0;Chlor West;Amprion;;3297;;;;;1641722.0
312;313;243;244;220000;3.0;;50.0;Chlor Ost;Amprion;;3297;;;;;1641723.0
313;314;68;213;220000;;;50.0;Pfungstadt Ost;Amprion;;34387;;;;;1641734.0
314;315;68;213;220000;3.0;;50.0;Kranichstein Ost;Amprion;;34387;;;;;1641735.0
315;316;68;245;380000;3.0;4.0;50.0;Untermain Nord;Amprion;;20594;0.025;0.25;13.7;2.6;1641756.0
316;317;245;246;380000;3.0;4.0;50.0;Untermain Süd;Amprion;;4449;0.025;0.25;13.7;2.6;1641757.0
317;318;68;246;380000;3.0;4.0;50.0;Karlstein Süd;Amprion;;23425;0.025;0.25;13.7;2.6;1641761.0
318;319;232;247;220000;3.0;4.0;50.0;Füssen West;Amprion;;73190;0.04;0.16;23.0;2.6;1641774.0
319;320;247;227;380000;3.0;4.0;50.0;Vöhringen Ost;Amprion;;73241;0.025;0.25;13.7;2.6;1641775.0
320;321;248;208;380000;3.0;4.0;50.0;Stummhafen 1A;Amprion;;5992;0.025;0.25;13.7;2.6;1659072.0
321;322;112;208;380000;3.0;4.0;50.0;Mengede Süd;Amprion;;10356;0.025;0.25;13.7;2.6;1659073.0
