;v_id;lon;lat;typ;voltage;frequency;name;operator;ref
342;350;11.3269542156337;49.3934813535393;substation;"220000;110000";50;Umspannwerk Ludersheim;"TenneT TSO GmbH;E.ON Netz GmbH";LU
343;351;11.5077306291349;48.7611239826781;substation;"380000;220000;110000";50;Ingolstadt;;IN
344;352;11.8076056990284;48.4554268046327;substation;"220000;110000";;Zolling - Irsching;;ZOL
345;353;11.5813705373931;48.7648940914575;substation;"380000;220000;110000";50;Irsching;;IRS
346;354;11.6393121226285;48.1787834513521;substation;"380000;110000";50;Föhring;;
347;355;6.17791450795649;49.9530651407752;substation;220000;;Vianden;SEO;
348;356;6.21102035001899;49.958625762817;substation;220000;50;SA Bauler;Amprion;
349;357;6.11451707744375;49.9053646883447;substation;"220000;65000";;Flebour;;
350;358;6.08346046717716;49.7764406544559;substation;"220000;65000";;Roost;;
351;359;6.27694180505096;49.1977400931517;substation;"400000;225000";;Poste électrique de Vigy;RTE;
352;360;6.77320788478575;49.2910742282334;substation;"380000;220000;110000";50;Umspannanlage Ensdorf;;
353;361;6.70365123666852;49.1385106493524;substation;"400000;225000;63000";;Poste électrique de Saint-Avold;RTE;
354;362;8.04936553586669;47.5508771216161;substation;"380000;220000";50;Laufenburg;;
355;363;7.50006180009675;51.5351741198659;substation;220000;50;Ratsbusch;;
356;364;6.97593259448086;51.0376007513607;substation;"220000;110000";;Station Dhünnaue;;
357;365;13.2428490525397;52.534954010528;generator;;;Heizkraftwerk Reuter West;;
358;366;8.56218199023421;49.1329499430444;substation;"380000;110000";50;Umspannwerk Bruchsal-Kändelweg;"EnBW;TransnetBW;NetzeBW";
359;367;8.44131550430227;49.2514026918789;substation;380000;50;Philippsburg 380 kV;EnBW;
360;368;7.94281005788411;47.6530213753111;plant;;;Kavernenkraftwerk Wehr;;
361;369;9.06879107734103;53.5666414353503;substation;"380000;110000";50;Alfstedt;EON_Netz;
362;370;6.74137616899692;49.3574919769119;substation;220000;50;UA Dillinger Hütte Mitte;;
363;371;6.74970012443072;49.3651763762001;substation;220000;50;UA Obergraben;Amprion;
364;372;6.76601568493305;49.3600771974691;substation;"220000;110000";50;Station Saarwellingen;Amprion;
365;373;12.1504016727645;49.0127518366844;substation;220000;;Umspannwerk Regensburg;'TenneT TSO GmbH; E.ON Netz GmbH'
366;374;7.59135990137681;51.9284416773768;substation;"220000;110000";50;Station Münster;RWE;
367;375;8.45163254550249;49.0073972031011;substation;"220000;110000";50;Umspannwerk Karlsruhe-Ost;"Transnet BW;Stadtwerke Karlsruhe";
368;376;8.99620820363651;52.3795880192563;substation;380000;50;KW Heyden;;
369;377;9.56282339901178;48.7014898485108;substation;"380000;110000";50;EnBW Umspannwerk Bünzwangen;EnBW;BZW
370;378;9.3709192851844;48.7191279915177;substation;"380000;110000";50;EnBW Umspannwerk Altbach 1;;
371;379;9.37760581754005;48.8126068944115;substation;"380000;110000";;EnBW Umspannwerk Endersbach;Netze BW;
372;380;9.82158388744515;52.4248552966861;substation;"220000;110000";50;Lahe;enercity Netzgesellschaft mbH;LAH
373;381;9.07622547939074;49.3633869809985;substation;"220000;110000";50;Obrigheim;;
374;382;10.1603033138907;49.9891567446732;substation;"380000;220000;110000";50;Umspannwerk Bergrheinfeld;TenneT TSO GmbH;BRF
375;383;10.1964916419935;50.0279724289148;substation;"220000;110000";50;Schweinfurt;;
376;384;10.8431178304875;49.3786927451193;substation;"380000;220000;110000";50;Umspannwerk Raitersaich;"TenneT TSO GmbH;E.ON Netz GmbH";RAI
377;385;9.09051758008411;49.970041398809;substation;"380000;220000;110000";50;Umspannwerk Aschaffenburg;"TenneT TSO GmbH;E.ON Netz GmbH";AS
378;386;8.81399422708791;51.9834366629029;substation;"220000;110000";50;Umspannwerk Lage;;
379;387;8.9322184779311;52.1933124598334;substation;"220000;110000";50;UW Veltheim;Westfalen Weser Netz GmbH;
380;388;8.95904416676652;52.2784949940029;substation;"220000;110000";50;Umspannwerk Meißen;EON_WestfalenWeser;
381;389;9.59430167337064;49.7984427353847;substation;"220000;110000";50;Umspannwerk Trennfeld;"TenneT TSO GmbH;E.ON Netz GmbH";TRE
382;390;10.9729039325696;49.5585074124969;substation;"380000;110000";50;Kriegenbrunn;EON_Netz;KRI
383;391;8.95464418290241;50.0860157590432;substation;"220000;110000";50;Kraftwerkseinspeisung Staudinger;;
384;392;7.17590444499639;51.4755782661564;substation;220000;;UW Stahlwerk ThyssenKrupp Nirosta;;
